"ORDER ID","CUSTOMER ID","EMPLOYEE ID","DATE","PRICE"
"1","88","15","2023-08-15","$418.96"
"2","416","39","2023-01-22","$318.93"
"3","453","29","2023-01-28","$237.45"
"4","417","53","2023-05-05","$247.04"
"5","162","22","2023-02-02","$68.63"
"6","60","10","2023-05-12","$109.63"
"7","505","48","2023-12-12","$161.39"
"8","57","43","2023-09-15","$170.83"
"9","130","16","2023-09-23","$404.91"
"10","525","34","2023-03-15","$385.22"
"11","582","24","2023-06-04","$262.68"
"12","383","54","2023-05-17","$50.13"
"13","229","18","2023-08-18","$489.81"
"14","142","50","2023-03-09","$406.73"
"15","537","11","2023-08-20","$163.49"
"16","376","45","2023-04-04","$195.04"
"17","138","57","2023-07-17","$382.76"
"18","85","21","2023-02-03","$432.8"
"19","587","59","2023-06-21","$10.66"
"20","104","37","2023-02-26","$139.75"
"21","393","15","2023-12-09","$59.35"
"22","361","29","2023-06-05","$260.21"
"23","414","41","2023-08-18","$496.92"
"24","538","45","2023-07-15","$123.29"
"25","555","23","2023-12-06","$180.17"
"26","179","2","2023-01-06","$293.9"
"27","444","22","2023-04-18","$355.27"
"28","221","38","2023-10-23","$106.91"
"29","377","25","2023-08-26","$18.44"
"30","284","51","2023-04-04","$166.9"
"31","36","21","2023-04-14","$288.42"
"32","159","33","2023-03-19","$176.43"
"33","307","20","2023-03-22","$462.23"
"34","508","5","2023-02-04","$128.54"
"35","194","49","2023-07-19","$285.82"
"36","43","47","2023-12-26","$243.33"
"37","45","32","2023-12-20","$474.47"
"38","390","7","2023-12-07","$149.59"
"39","100","18","2023-12-25","$260.14"
"40","17","19","2023-10-05","$484.26"
"41","28","27","2023-06-07","$17.81"
"42","575","2","2023-06-11","$133.77"
"43","373","26","2023-12-01","$450.66"
"44","479","38","2023-11-22","$117.02"
"45","365","17","2023-03-23","$67.58"
"46","508","53","2023-08-23","$311.87"
"47","541","13","2023-01-22","$110.71"
"48","513","11","2023-08-25","$443.35"
"49","256","23","2023-02-10","$251.03"
"50","111","12","2023-03-15","$357.16"
"51","80","39","2023-07-02","$276.03"
"52","564","8","2023-06-26","$219.21"
"53","479","17","2023-07-26","$397.34"
"54","575","8","2023-12-25","$189.29"
"55","164","39","2023-09-04","$409.37"
"56","539","9","2023-07-09","$372.37"
"57","178","26","2023-06-17","$413.86"
"58","496","30","2023-05-26","$251.41"
"59","177","3","2023-11-14","$237.24"
"60","571","41","2023-08-24","$15.5"
"61","488","60","2023-12-25","$295.01"
"62","147","49","2023-12-27","$266.71"
"63","569","29","2023-05-04","$283.43"
"64","522","39","2023-08-26","$361.56"
"65","129","29","2023-10-09","$484.89"
"66","60","7","2023-01-14","$362.39"
"67","72","10","2023-09-23","$339.31"
"68","32","13","2023-10-21","$42.08"
"69","537","54","2023-03-16","$407.94"
"70","210","52","2023-07-28","$149.28"
"71","83","45","2023-02-03","$452.29"
"72","577","31","2023-01-13","$123.03"
"73","162","50","2023-04-08","$464.59"
"74","70","15","2023-10-20","$68.13"
"75","129","25","2023-10-21","$263.44"
"76","215","57","2023-04-10","$374.54"
"77","57","23","2023-11-27","$91.65"
"78","532","33","2023-07-25","$427.67"
"79","264","48","2023-12-17","$274.76"
"80","353","44","2023-01-13","$294.65"
"81","169","30","2023-03-05","$445.51"
"82","447","21","2023-01-09","$220.34"
"83","264","48","2023-01-03","$294.26"
"84","530","48","2023-01-25","$445.74"
"85","177","22","2023-06-24","$74.91"
"86","301","17","2023-05-16","$333.8"
"87","462","53","2023-08-24","$52.18"
"88","12","56","2023-01-03","$280.87"
"89","254","2","2023-12-07","$165.63"
"90","96","54","2023-03-07","$11.91"
"91","82","41","2023-01-15","$321.3"
"92","591","19","2023-01-05","$290.9"
"93","595","43","2023-10-07","$371.41"
"94","326","5","2023-02-01","$251.34"
"95","240","26","2023-04-08","$337.46"
"96","464","38","2023-07-11","$113.59"
"97","413","60","2023-03-17","$170.7"
"98","140","45","2023-01-03","$388.25"
"99","32","33","2023-08-26","$443.79"
"100","341","50","2023-10-26","$108.9"
